INPUT:dialog	GOLDEN:intent	HINT:text
сколько стоит плантазан бэ	search.how_much	Информация из интернета / Сколько стоит?
сколько стоит фольксваген поло салона	search.how_much	Информация из интернета / Сколько стоит?
сколько стоит килограмм бивня мамонта	search.how_much	Информация из интернета / Сколько стоит?
сколько стоит беспроводная колонка джибиэль	search.how_much	Информация из интернета / Сколько стоит?
цена флейты самара	search.how_much	Информация из интернета / Сколько стоит?
сколько стоит обследование кошки в клинике	search.how_much	Информация из интернета / Сколько стоит?
сколько стоит набор стикботы	search.how_much	Информация из интернета / Сколько стоит?
креон
сколько стоит стекло на xiaomi четыре pro	search.how_much	Информация из интернета / Сколько стоит?
поставь нас не догонят
сколько стоит билет в дино парк рекс	search.how_much	Информация из интернета / Сколько стоит?
почем проститутка	search.how_much	Информация из интернета / Сколько стоит?

цена мототрактора	search.how_much	Информация из интернета / Сколько стоит?
сколько стоит залить фундамент на дом	search.how_much	Информация из интернета / Сколько стоит?
газ шестьдесят девять семьдесят второго года выпуска за сколько можно купить	search.how_much	Информация из интернета / Сколько стоит?
стекловата утеплитель москва	search.other	Поиск товара, а не цены
бушные передние тормозные колодки нива шевроле	search.other	Поиск товара, а не цены
рольставни в кредит	search.other	Поиск товара, а не цены
аренда сварочных аппаратов недорого	search.other	Поиск услуги, а не цены
пробить скважину на даче	search.other	Поиск услуги, а не цены
за сколько можно продать монета двадцать копеек тысяча девятьсот сорок пятого года
утюги тефаль нижний новгород	search.other	Поиск товара, а не цены
леруа мерлен	search.geo.org.general	Поиск организации
яндекс маркет	action.app.other_app	Запуск приложений/сайтов
