INPUT:dialog	GOLDEN:intent	HINT:text
lil peep,Включаю: Lil Peep.,что за трек	simple.what_track	Какой трек проигрывается. Станция включает музыку исполнителя Lil Peep, однако пользователь не знает, какой именно трек и просит Алису назвать его
алис распознай музыку	simple.recognize.music	Распознай музыку. Просьба Алису распознать играющую музыку
алиса спой мне	general_conversation.tell.sing_song.general	Диалог - Просьба рассказать что-нибудь - Спой песню - Без указания
что за песню ты включила	simple.what_track	Какой трек проигрывается. Станция включает музыку, однако пользователь не знает, какой именно трек и просит Алису назвать его
сейчас спою, Давайте. громко,о зеленоглазое такси притормози притормози	general_conversation.dialog	Болтовня. Вот такой разговор с Алисой
зашазамь песню	simple.recognize.music	Распознай музыку. Просьба Алису распознать играющую музыку. Шазам - самое популярное приложение по распознаванию музыки
abba,Включай: ABBA.,какая песня	simple.what_track	Какой трек проигрывается. Станция включает музыку исполнителя ABBA, однако пользователь не знает, какой именно трек и просит Алису назвать его
алиса спой свою песню	general_conversation.tell.sing_song.own	Диалог - Просьба рассказать что-нибудь - Спой песню - Своего сочинения
послушай и скажи мне какая музыка тут играет	simple.recognize.music	Распознай музыку. Просьба Алису распознать играющую музыку
следующая песня,Включаю,как называется	simple.what_track	Какой трек проигрывается. Станция включает следующую песню, однако пользователь не знает, какой именно трек и просит Алису назвать его
ща запою
включи радио,Включаю вашу радиостанцию,что играет	simple.what_track	Какой трек проигрывается. Станция включает радио, однако пользователь не знает, какой трек и просит Алису назвать его
