открой 2гис	to_relabel
поехали на вокзал	to_relabel
мне нравится панк рок, а мне техно, хватит болтать	other.stop
покажи мне телек онлайн	search.content.live.tv_stream
включи мне чгк последний выпуск	search.content.video.not_porno
прямой эфир канала спас	search.content.live.tv_stream
смотреть стрим дота онлайн	search.content.video.not_porno
разбуди меня через час,Хорошо\, поставила будильник на сегодня в 19:26.,отмени будильник	action.time.alarm.cancel
на сколько установлен будильник	action.time.alarm.show_list
ставь мне будильник,На какое время поставить будильник?,время восемь десять	action.time.alarm.setup
сколько лет алле пугачевой,69 лет,сколько лет филиппу киркорову	search.fact
алиса напомни мне завтра вечером чтоб я собрал всех на ужин семейный шашлык,Этого я пока не умею. Но это временно.,можешь мне напомнить тогда завтра вечером	action.time.calendar
алиса когда будет третье сентября,Что-то я запуталась. Спросите по-другому\, пожалуйста.,алиса когда будет третье сентября	action.time.what_date
алиса сколько время в самаре,Сейчас в Самаре 15:06\, четверг\, 30 августа.,алиса сколько время в шармаль шейхи египет	action.time.what_time
погода в саратове на завтра,Завтра в Южноуральске от +13 до +23\, облачно с прояснениями.,на выходные	search.news_and_weather.weather
дождь сегодня будет или нет	search.news_and_weather.get_weather_nowcast
что с погодой на выходные алиса	search.news_and_weather.weather
ближайшее время осадки в казани	search.news_and_weather.get_weather_nowcast
а дождь в какой половине дня	search.news_and_weather.get_weather_nowcast
какая погода завтра утром	search.news_and_weather.weather
градусов,В настоящее время в Москве 0, пасмурно.,стоп	other.stop
добавь басов	settings.sound.equalizer
сделай потише на три пункта	settings.sound.volume_down
включи звук на максимум	settings.sound.volume_level
привет алиса,Привет.,посчитай сколько будет от сорока тысяч пять процентов	action.calc
ну пока,До свидания.,сколько будет один минус один	action.calc
сто плюс двести,И что это даст?,двести плюс сто	action.calc
какой курс доллара	search.currency
курс валюты в молдове евро,К сожалению\, у меня нет такой информации.,какой курс евро в молдове	search.currency
курс рубля к тенге,5.54 тенге. ЦБ РФ\, 3 января.,сколько будет тридцать четыре тысячи тенге к рублю	search.currency
как будет стол по английски, table, а по китайски	action.translate
как на итальянском сказать здравствуйте	action.translate
сучка,Очень оригинально. Сарказм.,привет на узбекский как перевод	action.translate
приготовление,Ищу в Яндексе [ Открывается поиск по запросу <приготовление> ],приготовление вяленой норвежской селедки	search.cook
алиса привет,Хеллоу.,алиса подскажи рецепт салата с пекинской капусты помидор помидор черри огурцы свежие грудка куриная	search.cook
привет алиса,Привет-привет!,как рецепт соления форели	search.cook
как сделать сметанный соус	search.cook
