INPUT:dialog	GOLDEN:intent	HINT:text
Что находится по адресу Санкт Петербург набережная реки мойки 1	search.geo.address.general	Поиск по адресу
Расстояние от москвы до подольска покажи	search.geo.navi.distance	Поиск - маршруты - расстояние
Алиса привет,привет,есть рядом со мной макдональдс?	search.geo.org.general	Поиск организации по роду деятельности
Привет алиса,И тебе привет,Построй маршрут на работу,Маршрут построен до работы 23 минуты,поехали	search.geo.navi.route_general	Построение маршрута не через приложение
Покажи мне бары в приложении Яндекс карты	action.app.maps	Поиск информации об организации в приложении
Сантехнику купить недалеко от метро пражская	search.geo.org.general	Поиск организации по роду деятельности
Покажи все парикмахерские в километре от меня	search.geo.org.general	Поиск организации по роду деятельности
Скачать игру веселая ферма на телефон		
Алиса новости на сегодня	search.news_and_weather.news	Новости
Построй маршрут домой,Маршрут построен до дома ехать 45 минут,Есть пробки на маршруте?	search.geo.navi.traffic_general	Запрос пробок

Открой яндекс навигатор плиз	action.app.maps	Просьба открыть картографическое приложение на телефоне
Алиса\, хочу послушать какую-нибудь классиескую музыку		
Поблизости нет магазинов,А что тогда по адресу ул малая пироговская 16?	search.geo.address.general	Запрос информации по адрес
Привет алиса,Привет,Можешь маме набрать?	action.phone.call	Просьба позвонить
Алиса покажи погоду в городе Московск,Вот прогноз погоды в городе Москва,алиса ты неправильно меня поняла	general_conversation.feedback.negative.criticism	Критика
Алиса построй маршрут до дома	search.geo.navi.route_general	Построение маршрута (гео запрос)
Алиса включи мне аудиосказки в приложении AudioTales	search.content.audiobooks.other	Поиск - Контент - Аудиосказки - Прочие сервисы. Это запрос связанный c аудиосказками
Круглосуточные магазины в приложении	action.app.maps	Поиск информации об организации в приложении
расстояние от хабаровска до ростова	search.geo.navi.distance	Поиск - маршруты - расстояние
Алиса поехали на работу построй маршрут	search.geo.navi.route_general	Построение маршрута (гео запрос)

Алиса новости на сегодня	search.news_and_weather.news	Новости
Привет яндекс\, предыдущая песня	action.app.music.play_pause	"Поиск - Контент - Музыка - Управление вопроизведением. Так же можно отметить это действия идя через ""действия на телефоне"""
Алиса новости на сегодня		
Можете поболтать ни о чем, просто скажите Алиса давай поболтаем,ясно	other.insignificant.ok	Другое - неинформативный ответ
Алиса\, хочу послушать какую-нибудь классиескую музыку	search.content.music.listen	Поиск - Контент - Музыка - Слушать без указания приложения
Скачать игру веселая ферма на телефон	search.content.other	Скачивание контента - другое (нет выделенной категории для игр)
привет алиса такси,не совсем вас понимаю,ты умеешь заказывать такси?	simple.what_you_can.taxi	Один из простых сценариев, что ты умеешь?
null	other.empty	null нужно относить в категорию пустая фраза
Алиса я хочу послушать Яндекс Радио	action.app.music.yandex	Поиск - Контент - Музыка - Слушать в приложении Яндекса
включи король и шут лесник песня	search.content.music.listen	Просьба включить песню
