INPUT:dialog	GOLDEN:intent	HINT:text
Привет,добрый вечер,шрот шрота	other.nonsense	Другое - прочее
Алиса что идет в кино,Сейчас в прокате больше 30 фильмов хотите узнать обо всех?,Нет лучше скажи что показывают в кинотеатре Пионер	search.timetable.cinema	Расписание киносеансов
привет как дела?,Est-ce que c'est aussi bon que toi?	other.unrecognized_language	Это неизвестный язык
Алиса поехали на работу построй маршрут	search.geo.navi.route_general	Построение маршрута (гео запрос)
курс доллара,56 рублей 42 копейки,ок	other.insignificant.ok	Другое - неинформативный ответ
😂😂😂	other.nonsense	Другое - прочее
qweasd172hqwoe9pjo,я вас не понимаю,asu2 i.s s.s.sd.2	other.nonsense	Не понятен смысл слов
который час?,двенадцать часов двадцать минут,ясно	other.insignificant.ok	Другое - неинформативный ответ
запусти секундомер		
я стула,к сожалению я не поняла,стула	other.nonsense	Другое - прочее

Алиса включи мои любимые песни	search.content.music.listen	Информация из интернета - Поиск контента - Музыка - Запрос "слушать" без указания
алиса подскажи погоду,в москве солнечно +17,спасибо	other.insignificant.thanks	Другое - неинформативный ответ
Алиса что идет в кино,Сейчас в прокате больше 30 фильмов хотите узнать обо всех?,Нет лучше скажи что показывают в кинотеатре Пионер		
\,	other.empty	Последняя фраза пустая
привет алиса,и тебе привет,.	other.empty	Последняя фраза пуста? Для этого есть специальная категория в другом
Слова песни despacito	search.content.music.lyrics	Поиск информации или слова песен в категории музыка
кто снимался в фильме аватар?	search.other	Подойдут как поиск прочее, так и фильмы - общая информация
null	other.empty	null нужно относить в категорию пустая фраза
алиса позвони маме,не могу найти контакт мама у вас в телефоне,ладно	other.insignificant.ok	Другое - неинформативный ответ
Можете поболтать ни о чем, просто скажите Алиса давай поболтаем,ясно	other.insignificant.ok	Другое - неинформативный ответ

Открой вкладку в режиме инкогнито	action.app.browser.tabs.open_incognito_mode	Действия - Приложения - Браузер - Вкладки - Открыть в режиме инкогнито
Алиса что идет в кино,Сейчас в прокате больше 30 фильмов хотите узнать обо всех?,Нет лучше скажи что показывают в кинотеатре Пионер	search.timetable.cinema	Расписание киносеансов
алиса сколько мне еще ждать убер,водитель будет через 15 минут,тогда отмени заказ я быстрее пешком дойду	action.taxi.other.cancel	Отмена заказа такси (прочие сервисы)
закажи мне такси по адресу ленина дом 8	action.taxi.general.order	Заказ такси (без уточнения службы)
Алиса поехали на работу построй маршрут		
Алиса\, сотри всю историю бразуера	action.app.browser.history.clear_history	Действия - Приложения - Браузер - История Браузера - Стереть
Алиса поехали на работу построй маршрут	search.geo.navi.route_general	Построение маршрута (гео запрос)
Покажи все парикмахерские в километре от меня	search.geo.org.general	Поиск организации по роду деятельности
Алиса\, придумай случайное число от 1 до 100	simple.random_num	Простые вопросы - Случайное число
запусти секундомер	action.time.stopwatch	Просьба поставить секундомер
