label	text
Y	кодовый замок цена
N	хабаровск ереван билеты сколько стоят
Y	сколько стоит гриф карты
Y	сколько стоит шуруповерт в березке
N	какие цены на билеты жд сухум москва
Y	сколько стоит супрастин на орбитальной семьдесят
Y	видеорегистраторы мистери купить в волгограде цены
Y	сколько стоит подписка яндекс плюс
Y	сколько стоит сыр филадельфия
Y	редми восемь сколько стоит
N	алиса сколько стоит десять копеек
N	буду стоят капельки целый день
N	монета десять рублей пятьдесят лет победы стоимость
Y	сколько стоит флогардин
N	так сколько стоит
N	зимой стоит летом журчит
Y	стоимость панели с приборами
N	известному норвежскому драматургу и цену принадлежат следующие высказывания самое возмутительное преступление это злоупотребление доверием друг друга как вы думаете к какому виду отклоняющегося поведения
Y	летающий корабль май литл пони сколько стоит
N	адмиралтейские верфи это рыболовное судно сколько стоит
Y	сколько стоит самсунг галакси джи три
Y	сколько стоит баскет дуэт
Y	алиса открывай все самсунг гелекси на магазине сколько стоит
Y	телефон ксиоми новый сколько стоит
Y	сколько стоит купить роутер
Y	какая цена на нутрилон в тюменской области
Y	алиса сколько стоит костюм леди баг
Y	покажи мне одежду спортивные костюмы цена
Y	сколько стоят умные часы
N	за сцену налево там идет такие как торговый центр
Y	цена двигателя на двухлитровую киа оптима коробка механика
N	сколько бензина потребуется чтобы проехать от москвы до дивноморска на ниссан икс эл тэ тридцать два сколько стоит дорога
Y	сколько стоит лобстер
Y	атаган сироп цена и дозировка
Y	самсунг галакси с девять плюс цена
Y	выжимной подшипник на ваз двадцать один четырнадцать цена
N	сколько стоит лабрадор
Y	сколько стоит хуавей хонор семьдесят
Y	энтерофурил стоимость
N	какие подшипники стоят в редукторе к шестьсот шестьсот девять
Y	алиса сколько стоит кукла лол
N	скажи пожалуйста сколько стоит билет москва ереван
Y	сколько стоят наушники беспроводные от айфона
Y	сколько стоит самсунг галакси а ноль один
Y	стоимость хавал в городе липецке седьмой
N	сколько стоит путевка в артек
Y	алиса найди мне пожалуйста сколько стоят печи сушилки для яблок и трав
N	стоимость акита ину щенка
Y	сколько стоит зеркало на газель
Y	сколько стоит микрофон
Y	алиса сколько стоит обруч
N	км конденсаторы приемка спб цены
N	в чем особенность таможенного контроля таможенной стоимости и происхождение товаров
Y	алиса скажи сколько стоит бисер для вышивания картинки там всяко разно
