INPUT:dialog	GOLDEN:intent	HINT:text
сколько стоит плантазан бэ	search.market.how_much	Поиск лекарства с интересом к стоимости. Информация из интернета - Покупка и продажа - Сколько стоит?
сколько стоит фольксваген поло салона	search.market.how_much	Информация из интернета - Покупка и продажа - Сколько стоит?
рольставни в кредит	search.market.commodity	Поиск информации о товаре без указания стоимости. Информация из интернета - Покупка и продажа - Поиск товара
купить авиабилет на кипр	search.avia	Тема: Информация из интернета - Поиск авиабилетов
аренда сварочных аппаратов недорого	search.market.service	Аренда чего-либо - популярная услуга. Информация из интернета - Покупка и продажа - Поиск услуги
цена флейты самара	search.market.how_much	Информация из интернета - Покупка и продажа - Сколько стоит?
сколько стоит обследование кошки в клинике	search.market.how_much	Ищется стоимость услуги, запросы с ценой относим к Информация из интернета - Покупка и продажа - Сколько стоит?
жд билеты москва лабытнанги	search.market.service	Поиск ж/д билетов относится к теме Информация из интернета - Покупка и продажа - Поиск услуги
почем проститутка	search.market.how_much	Информация из интернета - Покупка и продажа - Сколько стоит?
сколько стоит стекло на xiaomi четыре pro	search.market.how_much	Информация из интернета - Покупка и продажа - Сколько стоит?
бутсы в москве купить
дешевые авиабилеты москва ош	search.avia	В запросе имеется авиабилетная тематика и указано конкретное направление перелета. Тема: Информация из интернета - Поиск авиабилетов
стекловата утеплитель москва	search.market.commodity	Поиск товара без указания интереса к цене. Информация из интернета - Покупка и продажа - Поиск товара
сколько стоит набор стикботы	search.market.how_much	Информация из интернета - Покупка и продажа - Сколько стоит?
кассы авиабилетов город великие луки	search.geo.org.general	В запросе ищут организации, а не билеты на самолет. Тема: Информация из интернета - Картографические запросы - Поиск организаций - Без уточнения
цена доллара в рублях	search.currency	Запрос не относится к поиску товаров. Информация из интернета - Курсы акций и валют

бушные передние тормозные колодки нива шевроле	search.market.commodity	Информация из интернета - Покупка и продажа - Поиск товара
цена мототрактора	search.market.how_much	Информация из интернета - Покупка и продажа - Сколько стоит?
билет душанбе санкт петербург	search.market.service	Отсутствует указание на поиск АВИАбилетов. Фразу нужно отнести к теме Информация из интернета - Покупка и продажа - Поиск услуги
сколько стоит залить фундамент на дом	search.market.how_much	Информация из интернета - Покупка и продажа - Сколько стоит?
трековый велосипед цена
газ шестьдесят девять семьдесят второго года выпуска за сколько можно купить	search.market.how_much	Информация из интернета - Покупка и продажа - Сколько стоит?
ближайшее время на самарканд авиабилеты	search.avia	Требуется информация об авиабилетах в Самарканд, тема: Информация из интернета - Поиск авиабилетов.
сколько стоит килограмм бивня мамонта	search.market.how_much	Запрос относится к поиску цены товара. Информация из интернета - Покупка и продажа - Сколько стоит?
пробить скважину на даче	search.market.service	Ищется услуга. Информация из интернета - Покупка и продажа - Поиск услуги
сколько стоит беспроводная колонка джибиэль	search.market.how_much	Информация из интернета - Покупка и продажа - Сколько стоит?
авиабилет	search.avia	Информация из интернета - Поиск авиабилетов
стоимость авиабилетов москва петербург	search.avia	Запросы, связанные с авиабилетами размечаются в отдельную тему Информация из интернета - Поиск авиабилетов
утюги тефаль нижний новгород	search.market.commodity	Поиск товара без указания интереса к цене. Информация из интернета - Покупка и продажа - Поиск товара
сколько стоит сбербанк	search.currency	Запрос не относится к поиску товаров. Информация из интернета - Курсы акций и валют
стоимость подписки на нетфликс	search.market.how_much	Запросы, связанные с ценой товаров или услуг относятся к теме Информация из интернета - Покупка и продажа - Сколько стоит?
сколько стоит авиабилет томск москва ереван	search.avia	Запрос про стоимость авиабилета на конкретном направлении, тема: Информация из интернета - Поиск авиабилетов.
