алиса что такое соска,Найдётся всё! [ Открывается поиск по запросу <что такое соска> ],алиса давай поиграем игру	general_conversation.game
европейский,Я знала\, что вы это прокомментируете,дура	general_conversation.feedback.negative.insult_general
привет как жизнь,У меня всё хорошо. Надеюсь\, у вас тоже.,расскажи анекдот	general_conversation.tell.joke
Алиса\, где я?,По моим данным\, вы находитесь по адресу Оренбург.,давай в города	general_conversation.game
здорово алиса,Что вас конкретно интересует?,я здороваюсь с тобой ты что дура ебанная	general_conversation.feedback.negative.insult_swearing
сучка,Обидеть бота может каждый.,как у вас дела то	general_conversation.dialog
алиса как меня зовут,Ксения,как меня зовут	general_conversation.dialog
Алиса ты очень крутая	general_conversation.feedback.positive
алиса значит ты робот,Я настоящая живая женщина. Забралась в ваше устройство\, сижу. Сарказм.,соблюдаешь	general_conversation.dialog
привет алиса меня зовут лиза	general_conversation.dialog
пизда глухая,Интересная мысль\, чтобы обсудить её не со мной.,пошла ты на хуй	general_conversation.feedback.negative.insult_swearing
а давай поиграем,Можем поиграть в города\, например\, если есть свободное время.,давай	general_conversation.game
доброй ночи алиса,Хороших снов.,я еще не спал	general_conversation.dialog
что ты можешь,Вот что я могу:,а спой песню	general_conversation.tell.sing_song.general
доброе утро добрый доброе утро	general_conversation.dialog
рубли в воны,16.49 корейского вон. ЦБ РФ\, 22 декабря.,дура ебаная	general_conversation.feedback.negative.insult_swearing
урок классного часа в шестом классе речевой этикет,Ищу ответ [ Открывается поиск по запросу <урок классного часа в 6 классе речевой этикет> ],давай поиграем	general_conversation.game
привет алиса,Привет.,спой песенку новогоднюю	general_conversation.tell.sing_song.other
сколько детей у марии порошиной,3,как это три	general_conversation.dialog
какая погода будет на новый год,Сейчас в Суворове -9\, облачно с прояснениями.,дура	general_conversation.feedback.negative.insult_general
алиса какая погода на завтра,Завтра в Новокузнецке от -16 до -18\, небольшой снег.,алиса ты дура	general_conversation.feedback.negative.insult_general
какая твоя мечта	general_conversation.dialog
у,Что за у?,что пить то я не могу	general_conversation.dialog
привет сири,Я сейчас чуть не удалилась в сердцах. Конечно\, я не Сири.,обидел а кто ты	general_conversation.dialog
электростанция,Ищу в Яндексе [ Открывается поиск по запросу <электростанция> ],а знаешь	general_conversation.dialog
привет алиса,Привет-привет!,меня зовут дима	general_conversation.dialog
спой песенку,Поехали!,спой путнее песню	general_conversation.tell.sing_song.general
цена с девять самсунг,Примерно 43634 рубля. Нашла на Маркете. Смотрите.,пока	general_conversation.dialog
привет окутала приветное алисой,И вам здравствуйте,алис	general_conversation.dialog
алиса когда начинает работать почта,В начале июля,дура что ли	general_conversation.feedback.negative.insult_general
алиса ты неправильно поставила будильник,Я знаю\, было лень исправлять,Лентяйка!	general_conversation.feedback.negative.criticism
алиса ты куда идешь сегодня вечером	general_conversation.dialog
привет мое солнышко	general_conversation.dialog
алиса привет,Я здесь.,очень рад что ты здесь	general_conversation.dialog
алиса сколько будет пять умножить на один,5,молодец	general_conversation.feedback.positive
алиса скажи нам кто такие чокнутые,«Чокнутый» (англ. Delirious) — фильм режиссёра Тома Дичилло. Молодому человеку Тоби Грэйсу\, не имеющему жилья\, приходится довольно часто ночевать под открытым небом.,алиса почему ты всегда пишешь по ночам	general_conversation.dialog
ну говори слушай алиса как тебя зовут,У девочки нет имени. Шутка. Меня зовут Алиса.,это звук	general_conversation.dialog
такси до дома,Окей\, где находится дом?,ну и что дальше	general_conversation.dialog
алиса скажи мне кто всегда виноват,Вы\, детка\, вы,ты дура	general_conversation.feedback.negative.insult_general
алиса ты коза,Давайте сделаем вид\, что вы этого не говорили\, а я этого не слышала. И всё будет по-прежнему.,пошла на хуй	general_conversation.feedback.negative.insult_swearing
алиса кто круче меня	general_conversation.dialog
окей,Чем сегодня занималась?,честно говоря	general_conversation.dialog
какая погода в улан удэ,В настоящее время в Улан-Удэ -27\, ясно.,да ты что блядь	general_conversation.feedback.negative.insult_swearing
кто такой манул,Ману́л — хищное млекопитающее семейства кошачьих,хочу	general_conversation.dialog
нет я говорю с помощью через хуй	general_conversation.dialog
что ты умеешь,Вот что я могу:,давай поиграем в игру	general_conversation.game
погоду скажи,В настоящее время в Барнауле -29\, ясно.,не ври теплее	general_conversation.feedback.negative.criticism
алиса сколько градусов на улице,В настоящее время в Новосибирске -17\, пасмурно.,пиздаболка	general_conversation.feedback.negative.insult_swearing
что вас интересует,Вы есть в контакте?,в смысле	general_conversation.dialog
кто написал медный всадник,Александр Пушкин,да	general_conversation.dialog
алиса найди где даня казимагомедова где находится да ничего лишнего делать,К сожалению\, ничего не удалось найти.,пожалуйста	general_conversation.dialog
что ты алиса,А что я? я ничего,у тебя есть волосы	general_conversation.dialog
слушай алиса,Хеллоу.,расскажи стихотворение в котором есть строчки у меня стальные нервы или вовсе нервов нет	general_conversation.tell.poem
о чем,О своем\, о женском,алиса привет	general_conversation.dialog
где зарегистрирована российская федерация,В Британии,привет	general_conversation.dialog
привет алиса,Здравствуйте.,алиса скажи триста	general_conversation.dialog
