haberleri aç	"haberleri"(target_type) aç	open news
haberlerde ne var	"haberlerde"(target_type) ne var	what's on news
bugünün haberleri	"bugünün"(when) "haberleri"(target_type)	today's news
bugün haberlerde ne var	"bugün"(when) "haberlerde"(target_type) ne var	what's on today's news
dolar bilgisi göster	"dolar"(target_type) bilgisi göster	show dollar informatin
bugün dolar ne kadar göstersene	"bugün"(when) "dolar"(target_type) ne kadar göstersene	show how much is dollar today
bugün gündem nedir	"bugün"(when) "gündem"(target_type) nedir	what is the agenda today
hürriyeti aç	"hürriyeti"(target_type) aç	open hürriyet
hürriyet haberleri aç	"hürriyet haberleri"(target_type) aç	open hürrriyet news
hürriyet anasayfasını aç	"hürriyet anasayfasını"(target_type) aç	open hürriyet mainpage
facebooku aç	"facebooku"(target_type) aç	open facebook
facebooka gir	"facebooka"(target_type) gir	go to facebook
instagramı aç	"instagramı"(target_type) aç	open instagram
instagrama gir	"instagrama"(target_type) gir	go to instagram
facebook mesajlara gir	"facebook mesajlara"(target_type) gir	go to facebook messages
facebook messengerı aç	"facebook messengerı"(target_type) aç	open facebook messenger
spor haberlerini aç	"spor haberlerini"(target) aç	open sport news
maç sonuçlarını aç	"maç sonuçlarını"(target) aç	open match results
youtube aç	"youtube"(target_type) aç	open youtube
youtube izle	"youtube"(target_type) izle	watch youtube
youtube video	"youtube video"(target_type)	youtube video
komik video aç	"komik video"(target) aç	open funny video
navigasyonu aç	"navigasyonu"(target_type) aç	open navigation
yandex navigasyona gir	yandex "navigasyona"(target_type) gir	go to navigation yandex
kamerayı aç	"kamerayı"(target) aç	open camera
fotoğraf çekicem kamera aç	fotoğraf çekicem "kamera"(target) aç	I'll take photos open camera
hesap makinesini aç	"hesap makinesini"(target) aç	open calculator
takvime gir	"takvime"(target) gir	go to calendar
takvime gir bugün	"takvime"(target) gir "bugün"(when)	go to calendar today
takvimi aç	"takvimi"(target)aç	open calendar
maillerime bakmak istiyorum	"maillerime"(target) bakmak istiyorum	I want to look my mails
maillerimi açar mısın	"maillerimi"(target) açar mısın	can you open my mails
bugün gelen mailler	"bugün"(when) gelen "mailler"(target)	today incoming mails
e postamı aç	"e postamı"(target) aç	open my emails
e posta uygulamasına girer misin	"e posta uygulamasına"(target_type) girer misin	can you go to email app
müzik aç	"müzik"(target) aç	open music
spotifya gir	"spotifya"(target_type) gir	go to spotify
spotify aç	"spotify"(target_type) aç	open spotify
whatsapp açar mısın	"whatsapp"(target_type) açar mısın	can you open facebook
whatsappta mesaj yazıcam	"whatsappta"(target_type) mesaj yazıcam	I'll write message on whatsapp
whatsapp uygulamasını açmayı biliyor musun	"whatsapp uygulamasını"(target_type) açmayı biliyor musun	do know to open whatsapp application
getir aç	"getir"(target_type) aç	open getir
getirden sipariş vericem	"getirden"(target_type) sipariş vericem	I'll place an order at getir
getir uygulamasına gir	"getir uygulamasına"(target_type) gir	go to getir application
twitter	"twitter"(target_type)	twitter
twitterı açsana	"twitterı"(target_type) açsana	open twitter
ekşisözlük sitesini aç	"ekşisözlük sitesini"(target_type) aç	open sourtimes site
ekşisözlüğü aç	"ekşisözlüğü"(target_type) aç	open sourtimes
ekşisözlüğe gir	"ekşisözlüğe"(target_type) gir	go to sourtimes
snapchat açar mısın	"snapchat"(target_type) açar mısın	can you open snapchat
tiktok uygulamasını aç	"tiktok uygulamasını"(target_type) aç	open tiktok app
tiktoka girsene	"tiktoka"(target_type) girsene	go to tiktok
fb messengera gir	"fb messengera"(target_type) gir	go to facebook messenger
ayarlarıma gir	"ayarlarıma"(target) gir	go to my settings
fotoğrafları aç	"fotoğrafları"(target) aç	open photos
foto albümünü aç	"foto albümünü"(target) aç	open photo album
fotoğraflara bakmak istiyorum	"fotoğraflara"(target) bakmak istiyorum	I want to look at photos
fotoğraflarım nerede	"fotoğraflarım"(target)nerede	where are my photos
pubg oynamak istiyorum	"pubg"(target_type) oynamak istiyorum	I want to play pubg
pubg oyunu 	"pubg oyunu"(target_type)	pubg game
candy crush oynayalım aç	"candy crush"(target_type) oynayalım aç	let's play candy crush open
candy crushı aç	"candy crushı"(target_type) aç	open candy crush
netflixte film izleyeceğim	"netflixte"(target_type) film izleyeceğim	I'll watch movie on netflix
netflixten film aç	"netflixten"(target_type) film aç	open a movie at netflix
netflixte dizimi açsana	"netflixte"(target_type) dizimi açsana	open my series at netflix
edevlete gir	"edevlete"(target_type) gir	go to edevlet
edevletin sitesine gir	"edevletin sitesine"(target_type) gir	go to edevlet website
