INPUT:dialog	GOLDEN:intent	HINT:text
Алиса,Что?,перезагрузи систему	action.pc.stop.restart_pc	Управление компьютером - Сон/Перезегрузка/Выключение
2 плюс 2 равно	action.calc	Похоже на калькулятор
Привет алиса,Привет,Можешь маме набрать?	action.phone.call	Просьба позвонить
алиса какой номер у моего такси	action.taxi.general.status	Информация о заказе такси
отправь сообщение буду поздно маме	action.phone.message	Просьба отправить сообщение
алиса сколько мне еще ждать убер,водитель будет через 15 минут,тогда отмени заказ я быстрее пешком дойду	action.taxi.other.cancel	Отмена заказа такси (прочие сервисы)
алиса умеешь заказывать такси?,просто скажите закажи такси,закажи мне яндекс такси к дому	action.taxi.yandex.order	Заказ Яндекс такси
закажи мне такси по адресу ленина дом 8	action.taxi.general.order	Заказ такси (без уточнения службы)
Песня yesterday		
выключи компьютер	action.pc.stop.power_off	Управление компьютером - Сон/Перезегрузка/Выключение

прочитай вслух последние сообщения из телеграма	action.app.messenger	Просьба выполнить действие в стороннем приложении-мессенджере
Яндекс музыку запусти что ли	action.app.music.yandex	Просьба запустить музыкальное приложение (не относится к сценарию поиск)
открой AppStore приложение	action.app.other_app	Просьба открыть приложение не упомянутое в стандартных сценариях
youtube клип despacito включи пожалуйста	action.app.video	Явное указание открыть в приложении (в видео и клипы)
алиса открой мне википедию в браузере	action.app.browser.open_site	Запуск приложений / сайтов - браузер - открыть сайт
открой сайт google.com	action.app.browser.open_site	Запуск приложений / сайтов - браузер - открыть сайт
а может посмотрим игру престолов?,А почему бы и нет?,Включай	search.content.film.play	Из контекста понятно что это просьба включить сериал
Алиса\, запусти Гугл Хром пожалуйста	action.app.browser.general.open_default_browser	Действия - Приложения - Браузер - Открыть бразуер - Открыть другой бразуер
Оксимирон исполнитель	search.content.music.general	"Поиск - Контент - Музыка - Только исполнитель/песня. Этот запрос можно отнести к музыкальным, но нужно выбрать ""только исполнитель/песня"", так как в запросе не содержится глаголов действия или упоминания приложений"
Алиса\, открой мне диск ЦЭ		

Открой плейлист Madonna в приложении Apple Музыка	action.app.music.other	Поиск - Контент - Музыка - Слушать в других приложениях
порно порно порно		
Круглосуточные магазины в приложении	action.app.maps	Поиск информации об организации в приложении
спасибо большое выручила	general_conversation.feedback.positive	Похвала
алиса что порекомендуешь послушать?,Недавно вышел новый музыкальный альбом твоего любимого исполнителя,Тогда врубай	search.content.music.listen	Из контекста понятно что речь идет о том, чтобы послушать музыкальный альбом
Алиса\, открой мне диск ЦЭ	action.pc.open.open_disk	Выполнить действие - Запуск сторонних приложений/сайтов - Файлы и папки - Открыть диск
Что будут показывать по телику на выходных вечером	search.timetable.tv	Судя по всему - ТВ программа
Песня yesterday	search.content.music.general	"Поиск - Контент - Музыка - Только исполнитель/песня. Этот запрос можно отнести к музыкальным, но нужно выбрать ""только исполнитель/песня"", так как в запросе не содержится глаголов действия или упоминания приложений"
порно порно порно	search.porno.video	Поиск инфорации 18+, но не указаны слова вроде скачать, поэтому это не контентный запрос
Алиса скачай караоке пожалуйста	search.content.music.karaoke	Поиск - Контент - Музыка - Караоке
