INPUT:dialog	GOLDEN:intent	HINT:text
смотреть интерны на тнт на этой неделе когда	search.timetable.tv.common	Общая информация о времени показа сериала. Информация из интернета - Запросы про расписание - ТВ программа - Общее расписание
новости по тв во сколько	search.timetable.tv.common	Общая информация о времени выхода новостей на ТВ. Информация из интернета - Запросы про расписание - ТВ программа - Общее расписание
бой макгрегора во сколько будет прямой репортаж	search.timetable.tv.sport	Расписание спортивных передач на телеканалах. Информация из интернета - Запросы про расписание - ТВ программа - Спорт
чемпионат россии по футболу расписание	search.timetable.other	Расписание матчей Чемпионата России по футболу. Информация из интернета - Запросы про расписание - Прочее
во сколько сегодня показывают зенит	search.timetable.tv.sport	Расписание спортивных передач на телеканалах. Информация из интернета - Запросы про расписание - ТВ программа - Спорт
расписание чемпионата мира по легкой атлетике	search.timetable.other	Расписание проведения соревнования, не связанное с ТВ. Информация из интернета - Запросы про расписание - Прочее
расписание электричек москва коломна	search.timetable.transport	Расписание движения электропоездов. Информация из интернета - Запросы про расписание - Транспорт
первый канал новокузнецк телепрограмма	search.timetable.tv.common	Информация о трансляциях на канале. Информация из интернета - Запросы про расписание - ТВ программа - Общее расписание
по нтв еще показывают лигу чемпионов
тв три	search.timetable.tv.channel	Информация из интернета - Запросы про расписание - ТВ программа - Только название телеканала
что покажут в шесть часов по первому каналу	search.timetable.tv.common	Общая информация о трансляциях в определенное время. Информация из интернета - Запросы про расписание - ТВ программа - Общее расписание
просмотр передач канал тв три онлайн	search.content.live.tv_stream	Поиск просмотра прямого эфира указанного телеканала. Информация из интернета - Поиск контента - Прямой эфир - Прямой эфир ТВ
включи телевизор онлайн	search.content.live.tv_stream	Поиск онлайн просмотра телевизионного эфира. Информация из интернета - Поиск контента - Прямой эфир - Прямой эфир ТВ
тв программа на завтра	search.timetable.tv.common	Общая информация о показах завтра. Информация из интернета - Запросы про расписание - ТВ программа - Общее расписание

алиса что бы посмотреть сегодня по телеку	search.timetable.tv.common	Информация о трансляциях сегодня. Информация из интернета - Запросы про расписание - ТВ программа - Общее расписание
квн на первом когда	search.timetable.tv.common	Запрос расписания показа КВН на телеканале. Информация из интернета - Запросы про расписание - ТВ программа - Общее расписание
пусть говорят смотреть	search.content.video.not_porno	Поиск видео отдельной передачи без указания прямого эфира или телеканала. Информация из интернета - Поиск контента - Видео или клипы - Прочие видео без уточнения
обзор матчей третьего раунда кубка англии
алиса включи мне онлайн стрим кс го	search.content.video.not_porno	Поиск прямого эфира, напрямую не связанный с телеканалами. Информация из интернета - Поиск контента - Прямой эфир - Прочее
когда играет зенит на матч тв	search.timetable.tv.sport	Расписание спортивных передач на телеканалах. Информация из интернета - Запросы про расписание - ТВ программа - Спорт
когда играет шарапова в этом месяце	search.timetable.other	Расписание спортивных мероприятий без указания смотреть по телевизору. Информация из интернета - Запросы про расписание - Прочее
запусти мне трансляцию любого футбольного матча	search.content.video.not_porno	Поиск прямого эфира, напрямую не связанный с телеканалами. Информация из интернета - Поиск контента - Прямой эфир - Прочее
кхл тв	search.timetable.tv.channel	Информация из интернета - Запросы про расписание - ТВ программа - Только название телеканала
своя игра последний выпуск	search.content.video.not_porno	Поиск видео, не связанный с прямым эфиром. Информация из интернета - Поиск контента - Видео или клипы - Прочие видео без уточнения
прямой эфир канала карусель	search.content.live.tv_stream	Поиск просмотра прямого эфира указанного телеканала. Информация из интернета - Поиск контента - Прямой эфир - Прямой эфир телеканалов
тв онлайн первый канал	search.content.live.tv_stream	Поиск просмотра прямого эфира указанного телеканала. Информация из интернета - Поиск контента - Прямой эфир - Прямой эфир телеканалов
ургант онлайн	search.content.video.not_porno	Поиск прямого эфира, напрямую не связанный с телеканалами. Информация из интернета - Поиск контента - Прямой эфир - Прочее
майнкрафт стрим смотреть	search.content.video.not_porno	Поиск прямого эфира, напрямую не связанный с телеканалами. Информация из интернета - Поиск контента - Прямой эфир - Прочее
