INPUT:dialog	GOLDEN:intent	HINT:text
включи свет	action.iot_do	Запрос на включение света. Выполнить действие - Управление умным домом
включи кондиционер на двадцать градусов	action.iot_do	Запрос на изменение температуры кондиционера. Выполнить действие - Управление умным домом
включи наше радио	search.content.radio.fm	Запрос на включение конкретного радио. Информация из интернета - Поиск контента - Радио - FM-радио
вскипяти чайник	action.iot_do	Запрос на включение чайника. Выполнить действие - Управление умным домом
алиса переключи телек на следующий канал	action.iot_do	Запрос на переключение канала телевизора c упоминанием телевизора. Выполнить действие - Управление умным домом
включен ли свет в комнате	action.iot_do	Запрос о состоянии освещения в комнате. Выполнить действие - Управление умным домом
прибавь громкость на десять	settings.sound.volume_up	Запрос на изменение громкости без указания конкретного устройства. Выполнить действие - Управление устройством - Настройки звука - Погромче
алиса яркость света тридцать процентов	action.iot_do	Запрос на изменение яркости света. Выполнить действие - Управление умным домом
выключи компьютер	action.pc.stop.power_off	Запрос на выключение компьютера. Выполнить действие - Управление устройством - Сон/Перезагрузка/Выключение - Выключить устройство
запусти пылесос	action.iot_do	Запрос на включение бытового устройства. Выполнить действие - Управление умным домом
громкость четыре на телевизоре
сделай свет синим	action.iot_do	Запрос на изменение цвета освещения. Выполнить действие - Управление умным домом
алиса нтв	search.timetable.tv.channel	Запрос содержит только название канала. Информация из интернета - Поиск контента - Прямой эфир - Только название телеканала
