INPUT:dialog	GOLDEN:intent	HINT:text
включи последнюю серию	action.app.player.video.open_current_video	Запрос на выбор серии уже выбранного сериала (Включение выбранного видео)
запусти песню заново	action.app.player.play_pause.replay	Просьба включить текущую песню сначала (Повторение трека или видео), а не поставить на повтор
никогда не включай монеточку	action.app.player.playlist.dislike	Отрицательная оценка аудиозаписи которая сейчас играет (Отрицательная оценка)
алиса поставь романтическую музыку, Послушайте Oh Wonder\, песня White Blood, дальше	action.app.player.rewind.next	Просьба перейти к следующему треку. Здесь запрос на управление музыки и это надо размечать независимо от того подключен экран или нет. Посему подходит лишь категория (Следующий трек или видео)
посмотреть сериалы на ivi, вот что удалось найти, в начало списка	action.app.quasar.go_to_the_beginning	Запрос на переход в начало списка сериалов. Здесь отображается галерея и пользователь хочет попасть в её начало (Начало списка)
запусти четвертый ролик	action.app.player.video.select_video_from_gallery	Алиса показывает некоторую галерею с роликами в которой название фильма не выбрано т.е.(Выбор видео из списка) по порядковому номеру
продолжи музыку	action.app.player.play_pause.continue	Просьба продолжить воспроизведение музыки или видео, которые были остановлены (Продолжение воспроизведения)
предыдущая серия	action.app.player.rewind.prev	Здесь будет не возвращение в галерею и включение новой серии, а переход к предыдущему видео из проигрывателя (Предыдущий трек или видео)
меньше грустной музыки
поставь другой трек	action.app.player.rewind.next	Просьба перейти к следующему треку
включи музыку, включаю, давай повеселее	action.app.player.playlist.more	Просьба добавить весёлые песни в плейлист, который сейчас играет (Добавление определенного типа музыки)
включи песню sweet dreams, включаю eurythmics\, альбом sweet dreams, останови	action.app.player.play_pause.pause	Запрос на остановку воспроизведения музыки или видео (Остановка воспроизведения)
включи эту песню по кругу	action.app.player.order.repeat	Просьба зациклить воспроизведение конкретного трека (Порядок воспроизведения - Зацикленный)

алиса включи чудо на гудзоне, этот контент платный\, сейчас открою описание, купить	action.app.player.video.payment_confirmed	Запрос на покупку предварительно выбранного фильма (Покупка выбранного видео)
приключенческие фильмы,открываю,открой второй фильм на кинопоиске	action.app.player.video.select_video_from_gallery	Выбор видео из списка по порядковому номеру
вернись на главный экран	action.app.quasar.go_home	Просьба перейти на главный экран станции (Домашний экран)
включи музыку звук леса, включаю природа\, песня звук леса после дождя, мне нравится	action.app.player.playlist.like	Положительная оценка аудиозаписи, которая сейчас играет (Положительная оценка)
промотай на двадцатую минуту	action.app.player.rewind.rewind_absolute	Перемотка на конкретную позицию
включи дудя
играй меньше попсы	action.app.player.playlist.less	Просьба убрать песни жанра поп из плейлиста, который сейчас играет (Удаление определенного типа музыки)
перемотай на десять минут вперед	action.app.player.rewind.rewind_relative	Перемотка относительно текущей позиции
а не посмотреть бы нам клипы алиса,Вот список 10 самых популярных видео клипов,включай поочереди	action.app.player.order.straight	Порядок воспроизведения - Прямой
третий ролик, включаю, обратно	action.app.quasar.go_backward	Запрос на переход на предыдущий экран станции [разбор этого примера есть в инструкции] (Предыдущий экран)
убери это дерьмо из избранного	action.app.player.playlist.dislike	Просьба убрать трек из избранного с явно негативной оценкой (Удаление проигрываемого трека)
включи этот фильм, этот фильм платный, ну и хрен с ним давай домой	action.app.quasar.go_home	Просьба перейти на главный экран станции (Домашний экран)

добавь эту песню в любимые	action.app.player.playlist.like	Просьба добавить трек в плейлист (Добавление проигрываемой песни)
выключи это	action.app.player.play_pause.pause	Запрос на остановку воспроизведения музыки или видео; это не отрицательная оценка, поскольку у запроса нет резко негативной окраски (Остановка воспроизведения)
найди игру престолов, открываю, первый сезон	action.app.player.video.open_current_video	Запрос на выбор сезона уже выбранного сериала (Включение выбранного видео)
алиса порекомендуй фильм, одну секунду, вперёд	action.app.quasar.go_forward	Алиса открывает список рекомендуемых фильмов и пользователь хочет прокрутить галерею. Это запрос на переход на следующий экран в списке фильмов (Следующий экран)
смотреть ещё раз	action.app.player.play_pause.replay	Просьба повторить текущий трек или видео заново (Повторение трека или видео)
запусти вперемешку	action.app.player.order.shuffle	Просьба воспроизводить плейлист в случайном порядке (Порядок воспроизведения - Случайный)
назад на десять минут	action.app.player.rewind.rewind_relative	Просьба перемотать текущий трек или видео относительно текущей позиции (Перемотка относительно текущей позиции)
как же надоел этот рэп
перемотай фильм в конец	action.app.player.rewind.rewind_absolute	Перемотка на конкретную позицию
знаешь хочу послушать предыдущую песню	action.app.player.rewind.prev	Предыдущий трек или видео
включи первый фильм	action.app.player.video.select_video_from_gallery	Выбор видео из списка по порядковому номеру (Выбор видео из списка)
больше рока	action.app.player.playlist.more	Просьба добавить песни жанра рок в плейлист, который сейчас играет (Добавление определенного типа музыки)
покупай первый сезон	action.app.player.video.payment_confirmed	Запрос на покупку предварительно выбранного фильма (Покупка выбранного видео)
