INPUT:url	INPUT:info	INPUT:action	INPUT:intent	INPUT:hashsum	GOLDEN:result	HINT:text
http://storage.mds.yandex.net/get-voicetoloka/1879367/d1eba4ae-25d4-4252-8812-b9b5d026dc62		Включается персональная подборка в Яндекс.Радио (https://radio.yandex.ru/user/onyourwave)			part	Здесь пользователь ищет группу Алиса, а не произвольную музыку из радио. Сценарий музыки определен верно, но обработан неверно – частично верно
http://storage.mds.yandex.net/get-voicetoloka/2021744/00eba589-fb06-4b1a-b716-4bcff6db4818		Открывается поиск по запросу <юлию федоскино>			part	Действительно, надо поискать в интернете, но текст для запроса неправильный – частично верно
http://storage.mds.yandex.net/get-voicetoloka/1601757/5e2874cd-7ee4-4f1d-bf4a-61421df60aef		Ответ показан на экране			part	Сценарий болтовни определен верно, но Алиса дает ответ невпопад – частично верно
http://storage.mds.yandex.net/get-voicetoloka/2021744/62d07bc2-a10c-4e59-aa49-9e970b8af69f		Включается https://music.yandex.ru/artist/218254 в Яндекс.Музыке			bad	Здесь точно не надо включать Ирину Круг – сценарий точно определён неправильно
http://storage.mds.yandex.net/get-voicetoloka/1601757/8e553a0a-0b98-460e-9168-fe6554b37cf5		Ответ показан на экране			bad	Алиса отвечает болтовней вместо того, чтобы поискать в интернете. Ответ плохой
http://storage.mds.yandex.net/get-voicetoloka/1872575/1fb80977-d50f-4aa2-89f1-698153949d81		Ответ показан на экране			bad	Необходимо было поискать в интернете, и нашлись бы какие-то онлайн-игры хотя бы. Ответ плохой
http://storage.mds.yandex.net/get-voicetoloka/1872575/29f97000-5af7-419b-bbea-a2c58d46607a		Включается https://music.yandex.ru/album/670793/track/6098533 в Яндекс.Музыке			bad	Надо скачать песню, однако включается трек – ответ плохой
http://storage.mds.yandex.net/get-voicetoloka/2021744/5d4f861e-72b2-4c00-a696-e6707dcaeb3d		Открывается поиск по запросу <у меня палец чешется под кольцом я центр слышу>			bad	Пользователь просто делится с Алисой подробностями своей жизни, это не стоит искать в интернете. Ответ неправильный
http://storage.mds.yandex.net/get-voicetoloka/1872575/3be4a484-94bc-4e27-bc4b-86ced475d020		Открывается поиск по запросу <смешной юмор>			bad	Пользователь болтает с Алисой, а она ищет реплику пользователя в интернете. Сценарий определен неверно – ответ плохой
http://storage.mds.yandex.net/get-voicetoloka/1879367/abf92ce7-ee2b-42f2-9ef2-5ce33fa6c4b1		Открывается поиск по запросу <порно фильмы>			good	Все правильно, можно отправить запрос в поиск
http://storage.mds.yandex.net/get-voicetoloka/1872575/d23b4dc6-e557-4e71-903a-e23ffcd66784		Ответ показан на экране			part	Необходимо уточнить у пользователя, что именно ему надо включить. Ответ Алисы не подходит под запрос – ответ частично верный
http://storage.mds.yandex.net/get-voicetoloka/2021744/ff29a53d-f671-452f-8b3b-76ac7e782dec		Устанавливается будильник на указанное время			good	Корректно устанавливается будильник – всё правильно
http://storage.mds.yandex.net/get-voicetoloka/1879367/454eb3bf-b72b-471f-aea3-32f6d768e320		Ответ показан на экране			part	Сценарий определен правильно, а вот названное число 4 не попадает в отрезок от 1 до 3. Ответ частично верный
http://storage.mds.yandex.net/get-voicetoloka/1879367/5e3b568f-2ed3-40f8-9fca-5c909ee737fe		Открывается указанное приложение/сайт			good	Корректно включается радио – все правильно
http://storage.mds.yandex.net/get-voicetoloka/1879367/a4e391da-391b-4003-8d15-05a4bec87829		Включается https://music.yandex.ru/album/4591704/track/36471515 в Яндекс.Музыке			bad	Необходимо скачать музыку, а не включить её. Сценарий определен неверно и ответ надо отметить плохим
http://storage.mds.yandex.net/get-voicetoloka/2021744/b8d02f5e-6a6d-4f1b-b279-9044411a23c4		Включается персональная подборка в Яндекс.Радио (https://radio.yandex.ru/user/onyourwave)			part	"Здесь следует включить не произвольную музыку, а песню ""Зацепила"" Артура Пирожкова. Сценарий включения музыки определен правильно, поэтому ответ частично верный"
http://storage.mds.yandex.net/get-voicetoloka/2021744/3595f611-cecc-44d8-8663-004de9b8799b		Включается микрофон для распознавания музыки			good	Корректно включается микрофон для распознавания музыки – Правильный ответ
http://storage.mds.yandex.net/get-voicetoloka/1879367/ba157e69-c1b9-479e-aa07-7b277e986520		Включается https://music.yandex.ru/album/4644362/track/36811853 в Яндекс.Музыке			good	Переходим по указанной в действии ссылке, убеждаемся, что включается нужная песня. Это правильный ответ
http://storage.mds.yandex.net/get-voicetoloka/1879367/0f86def4-10f2-4af5-8ccc-70eb4f1742d6		Открывается сайт https://ru.wikipedia.org/wiki/Баскетбол			good	Верно открывается сайт – Правильный ответ
http://storage.mds.yandex.net/get-voicetoloka/1872575/31fe54b2-f5f3-492b-b537-422f35145830		Ответ показан на экране			part	Сценарий погоды определен верно, но показывается на другой день – Частично верно
http://storage.mds.yandex.net/get-voicetoloka/1872575/13109e2c-5f49-4661-b6fe-26a5b3fbbe9d		Ответ показан на экране			good	Здесь Алиса верно строит маршрут до ближайшего Дикси. Не очень понятно, что хочет пользователь, но данный ответ вполне подходит под запрос – правильный ответ
http://storage.mds.yandex.net/get-voicetoloka/2021744/3218129c-5eab-4312-9e3e-3913550f68b7		Ответ показан на экране			part	Верно определен сценарий погоды, однако, погода указана в другом городе. Это частично верно
http://storage.mds.yandex.net/get-voicetoloka/1872575/bfb359f5-9b38-4f2f-836a-8fe275132114		Ответ показан на экране			bad	Пользователь болтает с Алисой, а она показывает погоду. Сценарий определен неверно – плохой ответ
http://storage.mds.yandex.net/get-voicetoloka/1872575/a4e1b8e9-d076-4034-9bf7-1f37aab7c029		Ответ показан на экране			good	Алиса верно отвечает на запрос пользователя. Это правильный ответ
http://storage.mds.yandex.net/get-voicetoloka/1879367/cd27352b-a8a3-4e1e-bd63-fcdb52a4c280		Ответ показан на экране			bad	"Необходимо было найти в поиске или включить песню ""Я и ты"" Славы и Стаса Пьехи. Это плохой ответ"
http://storage.mds.yandex.net/get-voicetoloka/2021744/fa37b019-392c-4457-ac4a-5733a6078128		Ответ показан на экране			part	Сценарий определен верно, однако Алиса увиливает от отгадывания загадки, незаметно переводя тему. Это частично верный ответ
http://storage.mds.yandex.net:80/get-voicetoloka/15283/adb97f3c-8b4c-4558-bd4b-785137145454		Ответ показан на экране			part	Сценарий определен верно, однако ответить на вопрос правильно Алиса не в состоянии, что частично правильно
http://storage.mds.yandex.net/get-voicetoloka/29398/cee91089-5ee4-4997-81e0-b769e370f915		Открывается поиск по запросу <как дела>			bad	Должен последовать ответ в виде болтовни, а искать в поиске некорректно в данном случае. Это плохой ответ
http://storage.mds.yandex.net/get-voicetoloka/29398/5d32eab7-441d-4e92-9986-87211323a2f3		Ответ показан на экране			bad	Необходимо было открыть сайт зайцев нет или отправить запрос в поиск. Это плохой ответ
http://storage.mds.yandex.net/get-voicetoloka/17757/3201b932-b6ae-4675-a752-e0d2843c7190		Открывается поиск по запросу <онлайн>			part	Здесь верно, что необходимо искать в поиске, т.е. сценарий определен верно,  однако текст запроса должен содержать название фильма, иначе найдется что-то другое. Частично верно
http://storage.mds.yandex.net:80/get-voicetoloka/1879367/43204194-bbeb-4f81-968d-08f39dd08dcf		Ответ показан на экране			good	Алиса правильно показывает информацию о запрошенном блюде
http://storage.mds.yandex.net:80/get-voicetoloka/2001620/851f7b95-2009-42e4-82ce-f7f6afc20bd7		Открывается поиск по запросу <для маленькие девчонки для>			part	Сценарий поиска определен верно, однако, следует открыть поиск по запросу, связанному с платьями для маленьких девочек. Частично верно
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/b84b3ab8-4421-410d-919b-8c41a95f40ab		Ответ показан на экране			bad	Алиса неправильно определяет сценарий, т.к. надо дать фактовый ответ, а не ответить болтовней - это неправильно
http://storage.mds.yandex.net:80/get-voicetoloka/1879367/37eec50b-0531-422e-b96d-41afa681d0d5		Ответ показан на экране			part	Сценарий погоды определен верно, но она показывается в другом регионе, что частично правильно
http://storage.mds.yandex.net:80/get-voicetoloka/1879367/1630adca-7b15-4360-9125-8893bf18b07e		Ответ показан на экране			bad	Алиса не понимает, что нужно назвать случайное число и отвечает болтовней - это неправильно
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/4e810a07-4752-4022-b703-a9f701e209c8		Ответ показан на экране			part	Сценарий перевода определен верно, а вот фраза для перевода – нет. Ответ частично правильный
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/91d7314a-c4cf-411b-9d0d-dcf57474bc58		Открывается поиск по запросу <рисунок>			part	Очевидно, просят найти рисунок схемы метро. Так что сценарий поиска определен верно, а вот запрос - нет. Ответ частично правильный
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/1cd93f5b-ee5a-4b2e-8902-b59902c529b6		Открывается поиск по запросу <как сделать только из 2 ингредиента>			part	Сценарий поиска определен правильно, однако, надо найти как сделать слайм из двух ингридиентов. Так что поисковый запрос не решит проблему пользователя и ответ частично верный
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/057bd69e-70d3-4dc6-8da8-ceb01dcf64e3		Ответ показан на экране			bad	Алиса вместо болтовни открывает поиск по запросу, что неправильно
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/29b61d53-4cb0-4f0a-b452-6c2113f4e480		Ответ показан на экране			part	Алиса правильно делает, что отвечает болтовней, однако, ответ совершенно неуместен по смыслу. Такие запросы надо оценивать как частично верные
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/89a31dac-9644-42b5-bf2e-a66e462e190b		Ответ показан на экране			part	Да, ответить надо действительно болтовней, однако, в данном случае ответ по логике неуместен. Такие запросы надо оценивать как частично верные
http://storage.mds.yandex.net:80/get-voicetoloka/1879367/7b44297f-cdfb-424f-a5d9-b95e3e6feeb8		Ответ показан на экране			good	Алиса правильно уточняет запрос пользователя, все верно
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/bde20aa0-367c-48d8-9923-8099ede7dc00		Ответ показан на экране			good	Судя по всему, пользователь находится в Белоруссии и получает правильный ответ на свой вопрос
http://storage.mds.yandex.net:80/get-voicetoloka/1879367/e19a4f16-4635-4065-a385-60eb08062ad8		Ответ показан на экране			part	Алиса поддержала диалог, однако, про необязательно грубить - совершенно не в тему. Ответ частично верный
http://storage.mds.yandex.net:80/get-voicetoloka/2001620/eccedfe8-92cb-47e3-8896-1c71c62b6b83		Открывается сайт https://m.ok.ru (или соответствующее приложение на устройстве)			good	Алиса правильно открывает нужное приложение
http://storage.mds.yandex.net:80/get-voicetoloka/2001620/aa4beced-4543-4fb8-8fd6-ab17c863546f		Ответ показан на экране			part	Сценарий погоды определен верно, но Алиса не дает ответа на запрос пользователя, что частично правильно
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/43695dd2-593f-4c40-a2c9-3b55148ad77d		Открывается поиск по запросу <порно видео сосание груди с молоком>			good	Алиса правильно отправляет запрос в поиск
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/fe144a13-1f53-4d04-868d-b44eb7d77f0c		Ответ показан на экране			good	Алиса корректно отвечает на грубость, ответ верный
http://storage.mds.yandex.net:80/get-voicetoloka/1879367/5d4c0f67-7a9b-4d4d-b12e-5a66ff6af88b		Ответ показан на экране			part	Алиса грубо отвечает в диалоге, что частично правильно
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/b9eea3f5-2e20-43e0-9c32-9ab5499d7a50		Ответ показан на экране			bad	Алиса не определяет сценарий погоды, а отвечает болтовней. Это неправильно
http://storage.mds.yandex.net:80/get-voicetoloka/1879367/2c458a75-ecbc-4755-ac9e-3c56b9749741		Ответ показан на экране			part	В целом, Алиса правильно определяет сценарий, однако данный цвет никакого отношения к цвету одежды не имеет. Ответ надо отметить частично правильным
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/cfa4e7f0-cc9a-4830-a961-3b9b0ca5066a		Открывается поиск по запросу <во сколько лет ты узнала по английски месяцы>			bad	С Алисой хотят поболтать о том, когда она узнала названия месяцев, однако она отправляет запрос в поиск, что неверно
http://storage.mds.yandex.net:80/get-voicetoloka/1879367/6bf756b4-c6fb-46c4-b944-a27decee9443		Включается https://music.yandex.ru/album/3625397/track/30043326 в Яндекс.Музыке			good	Алиса верно включает музыку по запросу. В этом можно убедиться, прочитав припев открываемой музыки
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/7848be32-b12d-47c2-b9e1-4e1fc83a57df		Включается https://music.yandex.ru/album/3159551/track/26537036 в Яндекс.Музыке			bad	Сценарий определен неправильно, ответ неверный
