text	weight	actual_form
алиса	39068268	personal_assistant.handcrafted.hello
спасибо	27335969	personal_assistant.handcrafted.user_reactions_positive_feedback
привет алиса	26013336	personal_assistant.handcrafted.hello
привет	23491982	personal_assistant.handcrafted.hello
да	19508334	personal_assistant.handcrafted.ok
да	18745035	personal_assistant.scenarios.external_skill__continue
да	16085459	personal_assistant.general_conversation.general_conversation
подсказка	14707909	personal_assistant.scenarios.external_skill__continue
как дела	12002364	personal_assistant.handcrafted.how_are_you
что ты умеешь?	11889036	personal_assistant.scenarios.onboarding
алиса привет	11780178	personal_assistant.handcrafted.hello
почему	10159636	personal_assistant.general_conversation.general_conversation
давай поболтаем	9455134	personal_assistant.scenarios.external_skill
алиса, хватит.	9255838	personal_assistant.scenarios.external_skill__deactivate
нет	8409132	personal_assistant.scenarios.external_skill__continue
пока	8143188	personal_assistant.handcrafted.goodbye
нет	8025475	personal_assistant.general_conversation.general_conversation
хватит болтать.	7726527	personal_assistant.scenarios.external_skill__deactivate
алиса давай поболтаем	7682836	personal_assistant.scenarios.external_skill
давай поболтаем	7527560	personal_assistant.general_conversation.general_conversation
погода	7346332	personal_assistant.scenarios.get_weather
а	6816713	personal_assistant.general_conversation.general_conversation
алиса давай поболтаем	5822561	personal_assistant.general_conversation.general_conversation
как	5791321	personal_assistant.general_conversation.general_conversation
хорошо	5548880	personal_assistant.handcrafted.ok
что	5109391	personal_assistant.general_conversation.general_conversation
алиса	5020212	personal_assistant.scenarios.external_skill__continue
сколько тебе лет	4630121	personal_assistant.handcrafted.how_old_are_you
понятно	4179218	personal_assistant.handcrafted.ok
алиса назови пожалуйста случайное число от десяти до двадцати	1111	demo
