INPUT:input	GOLDEN:result
"{""intent"":""personal_assistant\tscenarios\tplayer_next_track"",""req_id"":""1f722ac5-bf8f-4e4b-a4f0-2e66d3f9be42"",""state0"":{""time"":""2019-04-27 22:04:06"",""extra"":[{""type"":""Последняя прослушанная музыка"",""content"":""https://music.yandex.ru/track/630182 (Foo Fighters - Long Road To Ruin)"",""playback"":""Сейчас этот трек воспроизводится""}],""screen"":""музыкальный плеер""},""action0"":{""query"":""следующая"",""action"":""Включается следующий музыкальный трек""},""action1"":{""query"":""следующая"",""action"":""Включается следующий музыкальный трек""},""session_id"":""uu/a26bf64b5de7430b0d120327ea172b9d_1552848769_0""}"
"{""intent"":""personal_assistant\tscenarios\tfind_poi"",""req_id"":""acd8ab28-5800-449d-8f39-e0d6796b6484"",""state0"":{""time"":""2019-05-23 23:29:45"",""extra"":[{""type"":""Последняя прослушанная музыка"",""content"":""https://music.yandex.ru/track/30252300 (Алла Пугачёва - А знаешь, всё ещё будет)"",""playback"":""Сейчас этот трек воспроизводится""}],""screen"":""не подключено к телевизору""},""action0"":{""query"":""сервис центр бош ближайший"",""answer"":""Вот что нашлось: \""Bosch\"", Иловайская улица 2Б, стр. 1. Работает с 9 утра до 8 вечера. Сейчас закрыто.""},""action1"":{""query"":""иловайская улица это какой район"",""answer"":""Без карты я не справлюсь. Увы.""},""session_id"":""uu/d05fd03c8570adb8b3da23a187338c43_1558643052_0""}"	part
"{""intent"":""personal_assistant\tscenarios\talarm_cancel"",""req_id"":""eb377e3d-48be-4896-9d7b-2c5863a48dd6"",""state0"":{""time"":""2019-05-23 18:27:01"",""extra"":[{""type"":""Будильники"",""content"":""1. Будильник на 2019-05-23 18:30:00\n2. Будильник на 2019-05-23 18:35:00""},{""type"":""Последняя прослушанная музыка"",""content"":""https://music.yandex.ru/track/41152828"",""playback"":""Сейчас воспроизведение поставлено на паузу""}],""screen"":""не подключено к телевизору""},""action0"":{""query"":""поставь будильник на восемнадцать тридцать пять"",""action"":""Теперь установлены следующие будильники:\n1. Будильник на 2019-05-23 18:30:00\n2. Будильник на 2019-05-23 18:35:00"",""answer"":""Окей. Установила будильник на сегодня в 18:35. Лёгкого пробуждения!""},""action1"":{""query"":""выключи все будильники"",""action"":""Теперь никаких будильников не установлено"",""answer"":""Хорошо, выключила все будильники.""},""session_id"":""uu/4a94ddb45a90b8527b1eb0158a001346_1558621722_0""}"	good
"{""intent"":""personal_assistant\tscenarios\tsleep_timer_set\tellipsis"",""req_id"":""09faaa1b-8423-4a31-ad60-d8c96853cac6"",""state0"":{""time"":""2019-05-24 02:50:59"",""extra"":[{""type"":""Будильники"",""content"":""1. Будильник на 2019-05-24 11:00:00""},{""type"":""Последняя прослушанная музыка"",""content"":""https://music.yandex.ru/track/51678915"",""playback"":""Сейчас воспроизведение поставлено на паузу""}],""screen"":""не подключено к телевизору""},""action0"":{""query"":""спать ложусь"",""answer"":""Ой, отвлеклась. Повторите, через сколько мне нужно отключиться?""},""action1"":{""query"":""сейчас"",""answer"":""Что-то я отвлеклась. Повторите, через сколько мне нужно отключиться?""},""session_id"":""uu/b5effd6b73238e1d524dd6b31289932c_1558628745_0""}"	part
"{""intent"":""personal_assistant\tscenarios\tplayer_next_track"",""req_id"":""5cdf9376-3d1b-48fd-9637-eda349d35bcc"",""state0"":{""time"":""2019-05-23 08:09:50"",""extra"":[{""type"":""Последняя прослушанная музыка"",""content"":""https://music.yandex.ru/track/27435553 (Нигатив - Невесомость)"",""playback"":""Сейчас этот трек воспроизводится""}],""screen"":""музыкальный плеер""},""action0"":{""query"":""следующая песня"",""action"":""Включается следующий музыкальный трек""},""action1"":{""query"":""следующая песня"",""action"":""Включается следующий музыкальный трек""},""session_id"":""uu/546071065d1dffd933719f93f46aab58_1558585920_0""}"	good
"{""intent"":""personal_assistant\tscenarios\tget_date"",""req_id"":""d5e3f5ca-ef1b-414f-b152-4707a00ada96"",""state0"":{""time"":""2019-05-23 13:52:37"",""extra"":[{""type"":""Последняя прослушанная музыка"",""content"":""https://music.yandex.ru/track/37609249"",""playback"":""Сейчас воспроизведение поставлено на паузу""}],""screen"":""не подключено к телевизору""},""action0"":{""query"":""искусство"",""answer"":""Искусство — форма творчества, способ духовной самореализации человека посредством чувственно-выразительных средств (звука, пластики тела, рисунка, слова, цвета, света, природного материала и т.д.)""},""action1"":{""query"":""какой год февраль"",""answer"":""Сегодня в Эссене четверг, 23 мая 2019 года""},""session_id"":""uu/41588ef73c4565751a04c1fce45a598c_1558603113_0""}"	bad
"{""intent"":""personal_assistant\tscenarios\tvideo_play"",""req_id"":""64e12879-d316-4fe2-b973-f2c63ed9b895"",""state0"":{""time"":""2019-05-23 03:37:24"",""extra"":[{""type"":""На экране"",""content"":""20 видео/фильмов/сериалов под соответствующими номерами: \n1. \""Юные титаны, вперед!\"" на ivi\n2. \""Щенячий патруль: Мегащенки\"" на ivi\n3. \""Пушистый шпион\"" на ivi\n4. \""Гурвинек. Волшебная игра\"" на ivi\n5. \""Пластилинки. Зверушки\"" на ivi\n6. \""Как приручить дракона 3\"" на ivi\n""}],""screen"":""галерея видео""},""action0"":{""query"":""включи новые мультики"",""action"":""Открывается галерея из 20 видео/фильмов/сериалов по запросу пользователя. На экране отображаются следующие видео под соответствующими номерами:\n1. \""Юные титаны, вперед!\"" на ivi\n2. \""Щенячий патруль: Мегащенки\"" на ivi\n3. \""Пушистый шпион\"" на ivi\n4. \""Гурвинек. Волшебная игра\"" на ivi\n5. \""Пластилинки. Зверушки\"" на ivi\n6. \""Как приручить дракона 3\"" на ivi\n"",""answer"":""Секундочку, сейчас найдем.""},""action1"":{""query"":""включи на ютуб"",""action"":""Открывается галерея из 50 видео/фильмов/сериалов по запросу пользователя. На экране отображаются следующие видео под соответствующими номерами:\n1. \""Теперь я эмо\"" на youtube\n2. \""Алексей Иванов - о сытой Москве и небесном Челябинске / вДудь\"" на youtube\n3. \""Спорткар стоял 3 года в мусоре. Находка года!\"" на youtube\n4. \""Лукашенко VS Путин. В преддверии конфликта.\"" на youtube\n5. \""КОРОЧЕ ГОВОРЯ, ВЫГНАЛ СЕСТРУ ИЗ ДОМА [От первого лица] - СТАЛ БОМЖОМ\"" на youtube\n6. \""ТРЕНЕР ТАРАСОВА НАКАЗАЛ БРАТА БЛИЗНЕЦА ЗА СЛОВА\"" на youtube\n"",""answer"":""Вот что удалось найти.""},""session_id"":""uu/7591905bb0f1fa896104658416f02129_1558571306_0""}"	part
"{""intent"":""personal_assistant\tscenarios\ttranslate"",""req_id"":""d5e40c6e-828a-49ed-92cf-fd4e3773eef6"",""state0"":{""time"":""2019-05-23 06:57:09"",""extra"":[{""type"":""Последняя прослушанная музыка"",""content"":""https://music.yandex.ru/track/106393"",""playback"":""Сейчас воспроизведение поставлено на паузу""}],""screen"":""не подключено к телевизору""},""action0"":{""query"":""алиса как переводится one"",""answer"":""Сдаётся мне, перевод такой: один""},""action1"":{""query"":""алиса на армянском языке"",""answer"":""Не поняла. Давайте снова. Пример: «переведи слово \""кошка\"" на испанский».""},""session_id"":""uu/5db5071fb48dd11c57a41b91c165a3dc_1558579822_0""}"	part
"{""intent"":""personal_assistant\tscenarios\ttimer_set"",""req_id"":""3c1a8e2d-b037-4877-ab8c-d5bddc3f3f30"",""state0"":{""time"":""2019-05-23 21:36:11"",""extra"":[{""type"":""Последняя прослушанная музыка"",""content"":""https://music.yandex.ru/track/36753935"",""playback"":""Сейчас воспроизведение поставлено на паузу""},{""type"":""Последнее просмотренное видео"",""content"":""\""Презентация Яндекс 2019 (YaC)\"" на youtube"",""playback"":""Сейчас воспроизведение поставлено на паузу на 23 минуте 53 секунде""}],""screen"":""экран видеоплеера""},""action0"":{""query"":""запомни место"",""answer"":""Ладно, как скажете""},""action1"":{""query"":""алиса включи шестнадцать минут двадцать восемь секунд"",""action"":""Установлен таймер на 16 минут 28 секунд"",""answer"":""Поставила таймер на 16 минут 28 секунд.""},""session_id"":""uu/ab920fc2f1c23e2a9cea940c89a63fe6_1558634728_0""}"	bad
"{""intent"":""personal_assistant\tscenarios\trandom_num"",""req_id"":""6ac76fae-6c3c-4ec4-bdbf-7a1d4c5a06c0"",""state0"":{""time"":""2019-05-23 18:51:05"",""extra"":[],""screen"":""не подключено к телевизору""},""action0"":{""query"":""один плюс два плюс три плюс четыре плюс пять плюс шесть плюс семь"",""answer"":""28""},""action1"":{""query"":""найти сумму чисел от одного до ста"",""answer"":""90""},""session_id"":""uu/d6b82f0afac0e1883e733a9721a1325c_1558626658_0""}"	part
