INPUT:dialog	GOLDEN:intent	HINT:text
Автобус м10 москва маршрут	search.timetable.transport	Поиск информации о расписании общественного транспорта
Когда играют наши с финнами по первому каналу?	search.timetable.tv	Это из запроса про тв программу
Открой вкладку в режиме инкогнито
Прогноз дождя на неделю	search.news_and_weather.weather	Вопрос про погоду
Что произошло в мире	search.news_and_weather.news	Вопрос про новости
Алиса что на сегодня с погодой,Сегодня солнечно +4,Хочу на море покажи рейсы в сочи на сегодня	search.timetable.transport	Расписание транспорта (самолет)
Алиса что идет в кино,Сейчас в прокате больше 30 фильмов хотите узнать обо всех?,Нет лучше скажи что показывают в кинотеатре Пионер	search.timetable.cinema	Расписание киносеансов
Погода на сегодня 2 часа дня	search.news_and_weather.weather	Погода
нобелевская премия	search.other	Это поиск. Но недостаточно специфичный запрос для попадания в категорию факты
Театр на малой бронной афиша	search.timetable.events	Категория расписания театров и выставок

как сделать суши	search.cook	Скорее всего это про рецепты
Сколько стоит сбербанк на бирже?	search.currency	Вопрос про стоимость акций
Привет,добрый вечер,шрот шрота	other.nonsense	Другое - прочее
Какой элемент под номером 42 в таблице менделеева?	search.fact	Это факт
открой мне ЯБро	action.app.browser.general.open_ya_browser	Действия - Приложения - Браузер - Открыть бразуер - Открыть Яндекс
Юань это сколько рублей	search.currency	Запрос обменного курса валюты
Алиса новости на сегодня	search.news_and_weather.news	Новости
Ты умеешь заказывать такси?
Сколько лет длилась столетняя война?	search.fact	Запрос факта
Алиса\, открой папку Мои Документы на компьютере	action.pc.open.open_folder	Действия - Файлы и папки

привет алиса такси,не совсем вас понимаю,ты умеешь заказывать такси?	simple.what_you_can.taxi	Один из простых сценариев, что ты умеешь?
Ты умеешь заказывать такси?	simple.what_you_can.taxi	Один из простых сценариев, что ты умеешь?
Когда начинаем?,Хоть завтра,Сегодня ты занята что ли?	general_conversation.dialog	Обычный диалог
2 плюс 2 равно	action.calc	Похоже на калькулятор
алиса можешь поменять голоc	general_conversation.settings	Диалог - настройки Алисы
который час?,двенадцать часов двадцать минут,ясно	other.insignificant.ok	Другое - неинформативный ответ
Когда начинаем?,Хоть завтра,Сегодня ты занята что ли?
можешь мне скинуть денег,Домой приеду кину,это будет уже слишком поздно	general_conversation.dialog	Обычный диалог
алиса какой номер у моего такси	action.taxi.general.status	Информация о заказе такси
Открой вкладку в режиме инкогнито	action.app.browser.tabs.open_incognito_mode	Действия - Приложения - Браузер - Вкладки - Открыть в режиме инкогнито
