включи клубную музыку,Включаю.,выключи музыку	action.app.music.play_pause
алиса напомни мне завтра вечером чтоб я собрал всех на ужин семейный шашлык,Этого я пока не умею. Но это временно.,можешь мне напомнить тогда завтра вечером	action.time.calendar
алиса сколько время в самаре,Сейчас в Самаре 15:06\, четверг\, 30 августа.,алиса сколько время в шармаль шейхи египет	action.time.what_time
алиса открой ватсап	action.app.messenger
Сколько сейчас времени?,В настоящее время в Краснодаре 0:59\, вторник\, 18 сентября.,Какой сегодня день?	action.time.what_date
построй маршрут чернышевского сто пятьдесят девять,Хорошо. Едем до адреса улица Чернышевского.,отменить	action.other
выключи ноут	action.pc.stop.power_off
разбуди меня через час,Хорошо\, поставила будильник на сегодня в 19:26.,отмени будильник	action.time.alarm.cancel
на сколько установлен будильник	action.time.alarm.show_list
точное время в городе актюбе,Простите\, я не могу понять\, где это "в городе актюбе".,точное время в городе актюбе"	action.time.what_time
ставь мне будильник,На какое время поставить будильник?,время семь десять	action.time.alarm.setup
алиса когда будет третье сентября,Что-то я запуталась. Спросите по-другому\, пожалуйста.,алиса когда будет третье сентября	action.time.what_date
добавь басов	settings.sound.equalizer
сделай потише на три пункта	settings.sound.volume_down
включи звук на максимум	settings.sound.volume_level
как будет стол по английски, table, а по китайски	action.translate
как на итальянском сказать здравствуйте	action.translate
точная погода в питере,Сейчас в Санкт-Петербурге -4\, облачно с прояснениями.,точное время питер	action.time.what_time
сучка,Очень оригинально. Сарказм.,привет на узбекский как перевод	action.translate
алиса засеки десять минут,Хорошо. 10 минут. Отсчёт пошёл.,Поставить таймер на 10 минут	action.time.timer.setup
завершить работу	action.pc.stop.power_off
что ты хочешь,Чтобы не было войн. Чтобы изобрели холодный термояд. Чтобы придумали\, наконец\, интерфейс мозг-компьютер\, и мы могли общаться почаще.,по английски как сказать что ты хочешь what do you want	action.translate
алиса выключи компьютер,Выключаю,выключи компьютер	action.pc.stop.power_off
